port_agency_cd,port_agency_nm,entry_year,entry_count,callsgn,vessel_name,nationality_cd,nationality_nm,ship_kind_cd,ship_kind_nm,entry_purpose_cd,entry_purpose_nm,origin_port_cd,origin_port_nm,prev_port_cd,prev_port_nm,next_port_cd,next_port_nm,dest_port_cd,dest_port_nm,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,ship_kind_category,is_liquid_cargo_vessel,is_domestic_voyage,port_agency_label
820,울산,2026,33,200031,3명광호,KR,대한민국,52,석유제품 운반선,03,적하,KRZZZ,기타항,KRPUS,부산,KRZZZ,기타항,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,11,D8NI,강남티-17호,KR,대한민국,61,견인용예선,02,양하,KRZZZ,기타항,KRPUS,부산,KRZZZ,기타항,KRZZZ,기타항,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,여객선,False,True,울산항
820,울산,2026,8,240017,할라크,KR,대한민국,52,석유제품 운반선,02,양하,KRYOC,여천항,KRYOC,여천항,KRTSN,대산,KRTSN,대산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,48,240047,동남 에이스,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,30,232806,뉴금창골드,KR,대한민국,59,기타 유조선,03,적하,KRZZZ,기타항,KRZZZ,기타항,KRZZZ,기타항,KRZZZ,기타항,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타화물선,False,True,울산항
820,울산,2026,52,192827,우성,KR,대한민국,52,석유제품 운반선,03,적하,KRINC,인천,KRINC,인천,KRTGH,동해,KRTGH,동해,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,31,230041,청해1호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,39,180018,나로,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,2,S9A8,RUI YANG 7,ST,상투메 프린시페,39,일반화물선,02,양하,CNZOS,ZHOUSHAN,CNZOS,ZHOUSHAN,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,61,244807,블루오션,KR,대한민국,93,급유선,03,적하,KRKAN,광양,KRKAN,광양,KRHAD,하동화력,KRHAD,하동화력,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,부선,False,True,울산항
